MYL12A,SELENOM,IGFBP5,IGFBP4,IFI16,A2M,IFITM2,ANXA6,RARRES2,LY96,CD101,OSTC,COL6A1,SRM,SPOPL,CNOT10,SKP2,MYCT1,FBXO5,RNF122,FRG1HP,FNBP1,DEPP1,DDIT3,AKAP11,EDNRB,CHMP4A,CINP,GREM1,RAB8B,CRTC3,VKORC1,TK2,COL1A1,CDKN2D
808.02,853.44,60.87,150.53,64.26,30.28,82.76,11.08,44.95,13.10,1.18,7.49,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197.99,7.97,109.14,168.91,74.00,0.00,611.42,31.23,305.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.41,0.00,10.42,152.78,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,40.23,0.00,0.96,0.00
556.37,610.48,0.00,33.73,14.78,38.29,232.43,22.70,0.00,0.00,9.03,90.01,5.58,0.00,0.00,0.00,0.00,0.00,0.00,2.14,0.00,0.00,0.00,0.00,3.62,0.00,90.37,0.00,30.39,0.00,0.00,0.00,0.00,8.73,0.00
462.87,1056.90,62.95,165.22,33.26,53.46,1249.20,13.89,86.67,0.00,1.82,190.68,29.93,2.25,0.57,0.00,0.00,3.92,0.00,1.51,0.00,0.00,0.00,0.00,4.15,0.00,9.82,0.00,94.28,0.39,0.00,96.51,0.54,154.16,0.00
391.02,17.64,74.62,279.01,3.72,28.65,1305.80,12.20,478.32,0.00,0.00,0.00,3.00,49.18,0.00,0.00,0.00,0.62,0.00,1.44,2.46,19.22,6.15,0.00,0.00,0.00,18.68,0.00,12.40,1.11,0.00,0.00,3.10,23.47,0.00
295.50,339.27,11.12,12.99,23.39,14.00,490.60,0.00,113.43,93.02,0.22,99.43,18.71,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.24,1.57,61.63,4.02,1.28,168.94,60.97,22.29,4.91,0.00,138.92,0.26,5.16,0.00
497.47,768.96,35.26,110.60,14.09,100.61,519.97,0.00,104.84,0.00,14.57,431.84,8.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.17,34.25,1.40,9.76,8.83,1.99,1.06,0.00,2.98,1.85,0.00,96.02,0.94,2.42,0.00
325.67,420.24,135.20,122.68,0.00,1.90,9.39,0.00,500.03,0.00,0.00,125.01,2.43,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,15.61,4.99,0.00,0.00,9.50,2.53,0.00,0.00,0.00,0.00,3.01,0.00,0.00,0.00
748.58,377.16,119.20,169.91,84.73,87.31,2009.80,1.30,899.93,0.00,0.00,301.73,31.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.17,174.62,3.43,0.39,0.80,199.70,4.13,35.37,0.00,0.00,0.00,0.00,110.29,0.00
1129.20,1545.40,285.08,649.49,159.85,352.50,1542.30,0.00,849.87,829.49,33.51,665.73,54.07,176.29,0.00,0.00,0.00,22.44,32.67,59.39,0.00,76.75,372.29,0.00,75.15,0.00,0.00,16.67,672.69,0.00,0.00,774.29,0.00,439.75,0.00
594.56,1835.90,134.66,330.40,105.01,291.53,3264.20,109.28,726.17,241.80,25.78,653.87,118.29,0.00,45.96,35.33,0.00,0.00,0.00,0.00,101.30,50.55,246.12,0.00,17.37,15.76,192.29,0.00,221.86,29.69,0.00,292.77,36.59,225.69,40.72
853.98,439.17,50.41,105.29,29.07,50.34,235.09,32.30,341.78,24.05,8.22,344.90,42.42,68.21,14.21,8.85,5.86,3.90,14.05,2.31,9.85,16.42,11.49,34.09,22.43,16.22,158.66,38.00,21.81,11.24,7.34,119.60,0.21,14.24,21.39
786.85,3195.40,197.07,507.36,134.11,177.87,2535.10,101.73,742.71,72.13,13.88,682.19,163.51,106.98,60.87,58.20,0.00,14.94,20.31,77.85,177.28,39.43,292.28,166.78,63.85,47.64,401.95,427.27,204.35,22.27,8.61,11.14,0.00,511.33,0.00
946.75,1524.70,197.96,412.49,84.07,106.62,2862.00,72.09,1362.80,200.81,32.94,431.64,94.91,2.71,54.33,0.00,0.00,34.67,0.00,93.05,40.51,67.53,223.86,3.40,8.85,44.42,487.95,290.82,318.63,22.54,0.00,271.33,30.06,426.20,0.00
722.90,2410.50,274.40,331.99,52.29,225.62,1036.90,88.36,657.06,194.60,38.26,240.74,37.51,152.06,41.48,32.91,0.00,10.24,0.00,61.67,0.00,60.43,178.15,173.47,30.21,16.91,210.67,0.00,111.42,35.17,0.00,120.94,22.09,120.82,24.91
395.22,850.13,147.65,36.37,47.14,129.77,741.55,0.00,427.85,103.10,0.00,177.91,19.25,30.84,0.19,34.84,4.41,12.47,34.79,11.66,5.19,24.00,19.47,116.30,12.72,0.22,73.93,146.77,14.62,11.35,9.08,107.67,31.94,34.71,35.22
648.21,1212.20,340.54,475.48,78.28,128.30,2524.90,39.60,961.35,226.71,20.22,274.46,75.25,64.52,18.47,12.96,3.73,6.14,0.70,52.95,90.44,25.30,228.54,119.45,26.00,28.52,201.14,225.36,287.27,26.24,10.23,235.09,39.91,413.75,1.22
831.37,687.89,112.77,177.13,216.36,75.71,1142.50,40.39,697.71,282.82,35.09,258.86,14.34,0.00,0.00,48.13,0.00,0.00,9.33,23.32,177.40,38.88,2.26,217.55,0.00,29.50,405.47,276.05,128.77,39.83,0.00,257.95,3.80,94.18,0.00
453.50,22.17,14.03,277.60,0.00,2.94,0.00,2.55,0.00,0.00,11.99,6.91,1.88,0.00,0.00,0.00,0.00,0.00,0.00,3.62,0.00,0.00,3.86,0.00,0.00,0.00,0.00,16.26,1.83,0.00,0.00,0.00,0.00,0.00,0.00
223.49,1261.70,79.20,161.14,0.00,224.29,282.04,26.44,482.55,0.00,16.91,259.15,31.68,0.00,0.00,0.00,0.00,0.00,0.00,32.78,0.00,26.55,0.00,0.00,0.00,0.00,7.59,0.00,0.00,0.00,0.00,0.00,0.00,15.61,0.00
530.99,716.90,15.82,26.81,18.65,0.00,724.44,0.00,165.26,0.00,0.00,45.91,9.18,0.00,16.33,0.00,0.00,0.00,0.00,0.00,0.00,3.74,0.00,0.00,2.03,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,39.79,0.00
515.62,893.61,42.79,65.48,23.62,33.00,401.12,0.69,313.99,1.63,1.18,1.87,33.12,0.00,14.77,1.24,0.00,0.42,0.00,0.00,0.00,25.15,2.09,0.00,0.21,0.00,34.93,8.80,27.27,0.00,0.00,5.68,18.59,14.51,0.00
515.70,80.68,74.05,6.32,0.28,69.39,605.81,0.45,99.35,80.40,0.00,11.04,23.08,0.00,13.33,0.00,0.00,4.72,0.00,0.00,0.00,16.72,5.49,1.20,2.30,0.84,0.00,0.00,0.00,3.47,0.00,55.87,0.92,37.84,0.00
319.92,981.29,60.17,108.34,76.81,113.02,871.43,14.25,293.76,105.23,23.80,354.76,7.00,0.00,0.00,33.43,0.00,0.00,0.00,21.88,0.00,40.96,1.80,0.00,32.29,8.41,12.27,0.00,0.85,2.17,0.00,115.37,0.00,8.72,0.00
91.55,765.21,69.21,207.78,12.46,59.09,462.14,45.18,908.67,0.00,0.00,210.85,46.08,0.00,0.00,0.00,0.00,7.95,0.00,5.26,1.50,17.55,0.94,0.00,0.18,0.38,4.27,0.00,117.66,33.19,0.00,76.23,0.00,31.82,1.35
789.17,149.09,28.02,9.57,17.48,40.85,273.72,0.00,380.98,0.00,0.00,238.50,0.00,9.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.41,0.00,6.06,0.00,23.29,152.62,0.00,2.47,2.09,0.00,9.41,0.00,0.60,0.00